source_id,title,url,source_class,year,route_section,km_start,km_end,route_match_confidence,evidence_class,access_status,expected_visual_count,subagent_origin,notes,harvest_batch
YV001,Official video gallery,https://julianalps.utmb.world/get-excited/videos,official video gallery,2021-2025,official broad course video set,0,124.5,official-broad,official race video context,"open page, embedded outbound videos",6 listed videos,Mendel/Hume,Official page lists documentary and aftermovies; individual video pages carry the usable imagery.,
YV002,WHERE THE IBEX RUN documentary,https://www.youtube.com/watch?v=XY571v888rk,official YouTube video,2024,event-wide,0,124.5,official-broad,official race video context,public YouTube,thumbnail plus video review candidate,Mendel/Hume,"Official documentary; broad event imagery, not meter-indexed.",
YV003,After movie 2025,https://www.youtube.com/watch?v=wpv2b3npBQg,official YouTube video,2025,event-wide,0,124.5,official-broad,official race video context,public YouTube,thumbnail plus video review candidate,Mendel/Hume,Official 2025 aftermovie; current race year prior to 2026.,
YV004,After movie 2024,https://www.youtube.com/watch?v=Y6K1BjpKALQ,official YouTube video,2024,event-wide,0,124.5,official-broad,official race video context,public YouTube,thumbnail plus video review candidate,Mendel/Hume,Official 2024 aftermovie.,
YV005,After movie 2023,https://www.youtube.com/watch?v=RpRSa9LFK38,official YouTube video,2023,event-wide,0,124.5,official-broad,official race video context,public YouTube,thumbnail plus video review candidate,Mendel/Hume,Official 2023 aftermovie; course may differ.,
YV006,After movie 2022,https://www.youtube.com/watch?v=UOkPyuanUuc,official YouTube video,2022,event-wide,0,124.5,official-broad,official race video context,public YouTube,thumbnail plus video review candidate,Mendel/Hume,Official 2022 aftermovie; course may differ.,
YV007,After movie 2021,https://www.youtube.com/watch?v=W3X1ImfaYYY,official YouTube video,2021,older event-wide,0,124.5,older-broad,official race video context,public YouTube,thumbnail plus video review candidate,Mendel/Hume,Official 2021 aftermovie; older course.,
YV008,UTMB World Series race highlights 2024,https://www.youtube.com/watch?v=gduSGAp5wH4,official YouTube video,2024,event highlights,0,124.5,official-broad,official race video context,public YouTube,thumbnail plus video review candidate,Mendel,UTMB World Series highlights.,
YV009,UTMB World Series race highlights 2022,https://www.youtube.com/watch?v=ldGZU-wb-Sc,official YouTube video,2022,event highlights,0,124.5,older-broad,official race video context,public YouTube,thumbnail plus video review candidate,Mendel,UTMB World Series highlights; older course.,
YV010,The MOST Technical Trail Run? 120K+5900M,https://www.youtube.com/watch?v=hN8-fkkTG9I,runner YouTube video,2025,120K full route,0,124.5,direct-current-race-distance,direct runner race video,public YouTube,thumbnail plus video review candidate,Mendel,High-value 120K VLOG candidate.,
YV011,"Defeated by the Karawanks, racing Julian Alps 120k",https://www.youtube.com/watch?v=JSBKwFP1BzY,runner YouTube video,2025,120K with Karawanks emphasis,0,124.5,direct-current-race-distance,direct runner race video,public YouTube,thumbnail plus video review candidate,Mendel,High-value 120K VLOG candidate.,
