source_id,title,url,source_class,record_status,evidence_quality,surface_relevance,sections_supported,key_claims,caveats,raw_path,retrieved_at,content_sha256,claim_provenance
S001,Official 120K race page,https://julianalps.utmb.world/races/120K,Direct official route data,official_route,high,context/logistics/official,all; official route description; distance; start; GPX link,"Official route starts in Radovljica, passes Bled, Stol, Golica/Klek, Mojstrana, Gozd Martuljek/Srednji Vrh, finishes in Kranjska Gora.","High-level route truth, not surface taxonomy.",data/official-120K-page.html,2026-06-19T02:40:27+00:00,a1ecfc8a93fb7dc4f045301da2957b39a4000adb04845bc26f8e30d3c2f7976d,archived raw file
S002,Official Next.js track payload,https://julianalps.utmb.world/races/120K,Direct official route data,official_payload,high,context/logistics/official,all; aid points; difficulty; cutoffs; services,"Payload gives 12 official points, aid services, T2-T4 difficulty, distance 124499 m, gain 5893 m, loss 5572 m.",Embedded in official page source.,data/official-120K-page.html,2026-06-19T02:40:27+00:00,a1ecfc8a93fb7dc4f045301da2957b39a4000adb04845bc26f8e30d3c2f7976d,archived raw file
S003,OSM highway/path Overpass extract,https://overpass.kumi.systems/api/interpreter,Map/OSM/source-tag evidence,surface_relevant_archived,medium,surface,all; highway/surface/tracktype/sac/smoothness tags,Nearest-way matching gives road/path classes and available source tags.,OSM can be stale; bare highway classes are now capped as inference.,data/osm-highway-overpass.json,2026-06-19T02:44:08+00:00,45c611e67e42c8c76354f4f9e3129654388cb2455029ed574dca5508aa135871,archived raw file
S004,Official GPX visible button file,https://res.cloudinary.com/utmb-world/raw/upload/v1765191449/julianalps/2026%20GPX%20FILES/JA_125k_6000_581c090f9f.gpx,Direct GPX-derived geometry,official_geometry,high,context/logistics/official,all; GPX geometry/hash,Visible GPX hash computed during generation.,No local v1 comparison.,data/JA_125k_6000_581c090f9f.gpx,2026-06-19T02:39:06+00:00,971fbad73773809a9c72d09cb18615844956104c680557181e4db13526ed63ff,archived raw file
S005,Official GPX payload file,https://res.cloudinary.com/utmb-world/raw/upload/v1765187602/julianalps/GPX%20FILE%20%2818.9.%29/JA_125k_6000_7f0393c340.gpx,Direct GPX-derived geometry,official_geometry_duplicate,high,context/logistics/official,all; GPX conflict check,Payload GPX hash computed during generation and asserted equal to visible GPX.,Duplicate official file with different URL.,data/JA_125k_6000_7f0393c340.gpx,2026-06-19T02:41:03+00:00,971fbad73773809a9c72d09cb18615844956104c680557181e4db13526ed63ff,archived raw file
S006,Official equipment page,https://julianalps.utmb.world/races-runners/runners/equipment,Direct official route data,official_equipment,high,context/logistics/official,equipment/weather risk,Closed trail shoes with tread outsole and two headlamps are mandatory.,Equipment list does not classify route surface.,data/source-raw/S006.html,2026-06-19T03:17:14+00:00,330aede6ca09c136c85ff92fd48a1b15c944e0baca3fc9b0d84db9b34fb6c1c8,archived raw file
S007,Official drop-bags page,https://julianalps.utmb.world/races-runners/runners/drop-bags,Direct official route data,logistics_context,medium,context/logistics/official,aid planning; Zirovnica bag,120K transition bag logistics for Žirovnica.,Not a surface source.,data/source-raw/S007.html,2026-06-19T03:17:15+00:00,8a8de4bb54b0c65a4105d2210791195bb45f2e2b8ff9f1a144e9e9220a3dfdb3,archived raw file
S008,Official event schedule,https://julianalps.utmb.world/races-runners/runners/event-schedule,Direct official route data,official_timing,high,context/logistics/official,start/night timing,120K starts Friday 18 September 2026 at 21:00 from Radovljica.,Schedule can change.,data/source-raw/S008.html,2026-06-19T03:17:16+00:00,3d084c2617fa3cd0415ca2a63632c5ba66b2b683ec005c70befe1a3b2efaa906,archived raw file
S009,Official regulations,https://julianalps.utmb.world/races-runners/runners/regulation,Direct official route data,official_weather_context,medium,context/logistics/official,mountain autonomy; weather,Regulations warn about mountain weather risk.,Generic UTMB language.,data/source-raw/S009.html,2026-06-19T03:17:18+00:00,3d74fbf89ec118768e8a83173880f0997a46bb52e15072e3c879f99ebf8e724f,archived raw file
S010,Official race guide page,https://julianalps.utmb.world/races-runners/runners/race-guide,Direct official route data,future_placeholder,low,context/logistics/official,guide availability,2026 race guide not yet available as of run date.,Not retained as surface evidence.,data/source-raw/S010.html,2026-06-19T03:17:19+00:00,4a3f96a9017c37f1ad4a27a068f464969de5568d4d10c099db4f214c0309bff4,archived raw file
